Run Year,Spawn Year,Population,Origin,Sample Size,2,3,4,5,6,7,8,9,10,11,Na
2010,2011,Wenatchee,Hatchery,135,0,0.259,0.733,0,0.007,0,0,0,0,0,0
2010,2011,Wenatchee,Natural,104,0,0,0.144,0.702,0.144,0.01,0,0,0,0,0
2011,2012,Wenatchee,Hatchery,151,0,0.536,0.457,0.007,0,0,0,0,0,0,0
2011,2012,Wenatchee,Natural,169,0,0.012,0.32,0.521,0.136,0.012,0,0,0,0,0
2012,2013,Wenatchee,Hatchery,222,0,0.32,0.671,0.009,0,0,0,0,0,0,0
2012,2013,Wenatchee,Natural,113,0,0,0.31,0.566,0.097,0.018,0.009,0,0,0,0
2013,2014,Wenatchee,Hatchery,131,0,0.321,0.656,0.023,0,0,0,0,0,0,0
2013,2014,Wenatchee,Natural,148,0,0.014,0.405,0.48,0.095,0.007,0,0,0,0,0
2014,2015,Wenatchee,Hatchery,239,0,0.515,0.473,0.013,0,0,0,0,0,0,0
2014,2015,Wenatchee,Natural,185,0,0,0.232,0.611,0.157,0,0,0,0,0,0
2015,2016,Wenatchee,Hatchery,149,0,0.248,0.738,0.013,0,0,0,0,0,0,0
2015,2016,Wenatchee,Natural,139,0,0,0.288,0.511,0.194,0.007,0,0,0,0,0
2016,2017,Wenatchee,Hatchery,50,0,0.08,0.88,0.04,0,0,0,0,0,0,0
2016,2017,Wenatchee,Natural,47,0,0.043,0.106,0.532,0.298,0.021,0,0,0,0,0
2017,2018,Wenatchee,Hatchery,75,0,0.987,0,0.013,0,0,0,0,0,0,0
2017,2018,Wenatchee,Natural,95,0,0.032,0.579,0.347,0.042,0,0,0,0,0,0
2018,2019,Wenatchee,Hatchery,38,0,0.421,0.579,0,0,0,0,0,0,0,0
2018,2019,Wenatchee,Natural,35,0,0,0.6,0.314,0.057,0.029,0,0,0,0,0
2019,2020,Wenatchee,Hatchery,31,0,0.323,0.677,0,0,0,0,0,0,0,0
2019,2020,Wenatchee,Natural,80,0,0,0.525,0.475,0,0,0,0,0,0,0
2020,2021,Wenatchee,Hatchery,56,0,0.036,0.911,0.054,0,0,0,0,0,0,0
2020,2021,Wenatchee,Natural,81,0,0,0.062,0.914,0.025,0,0,0,0,0,0
2021,2022,Wenatchee,Hatchery,10,0,0.7,0.2,0.1,0,0,0,0,0,0,0
2021,2022,Wenatchee,Natural,35,0,0.029,0.686,0.257,0.029,0,0,0,0,0,0
