year,hor_spwn,nor_spwn,hor_se,nor_se
2004,1957,1324,534.859783711426,367.32469428321446
2005,1489,1304,231.9720750878522,208.14543061185984
2006,652,706,131.6673527529288,143.71767535345063
2007,1037,218,242.36816271624144,58.48362322414807
2008,835,415,125.38829597245157,64.45859419471755
2009,1407,527,194.599546123994,77.75790717843896
2010,1884,1308,718.1774186814206,500.0854757773942
2011,1089,939,92.10247643048913,92.86746106787254
2012,889,974,97.8398775005585,84.72788296528708
2013,1216,793,220.4649500156406,91.945526970786
2014,480,850,55.31392389396093,71.0892874954309
2015,661,875,85.98754483085594,67.28713188203028
2016,396,718,61.81253434264183,78.6325914408673
2017,260,277,49.71329849347243,43.629654674376134
2018,148,317,24.554894188542413,35.979001295254946
2019,186,229,34.05473817451787,37.918191559859594
2020,135,508,52.07527666016278,96.33933366375985
2021,314,729,52.3802326530942,80.64357259309547
