year,origin,est_old,se_old,est_new,se_new,est,se,lci,uci
1987,hos,3717,NA,NA,NA,3000,355.2,2384.8,3774.9
1987,nos,776,NA,NA,NA,1033,114,833.9,1280.1
1988,hos,2621,NA,NA,NA,2144,294.1,1644.2,2794.7
1988,nos,1415,NA,NA,NA,907,105.8,723,1137
1989,hos,1665,NA,NA,NA,1578,227,1195.8,2083.7
1989,nos,905,NA,NA,NA,498,59,396.2,627.1
1990,hos,1339,NA,NA,NA,1534,224.5,1156.5,2034.6
1990,nos,847,NA,NA,NA,417,49.6,331.3,525.6
1991,hos,891,NA,NA,NA,764,112.6,574.6,1014.9
1991,nos,435,NA,NA,NA,336,40.1,266.8,423.6
1992,hos,1207,NA,NA,NA,1424,210.7,1070.5,1894.4
1992,nos,801,NA,NA,NA,661,78.9,524.8,833.5
1993,hos,2673,NA,NA,NA,1432,212.3,1076,1906.4
1993,nos,495,NA,NA,NA,472,56.4,374.6,595.2
1994,hos,895,NA,NA,NA,515,76.5,386.7,685.6
1994,nos,272,NA,NA,NA,194,23.2,154,244.7
1995,hos,1489,NA,NA,NA,497,74,373.4,662.6
1995,nos,259,NA,NA,NA,251,30,199.2,316.7
1996,hos,963,NA,NA,NA,494,73.5,370.8,658.3
1996,nos,343,NA,NA,NA,169,20.2,134.4,213.6
1997,hos,229,NA,NA,NA,561,83.6,421.1,748.1
1997,nos,242,NA,NA,NA,262,31.4,208,330.8
1998,hos,352,NA,NA,NA,593,88.5,445,791
1998,nos,252,NA,NA,NA,252,30.2,200,318.1
1999,hos,106,NA,NA,NA,402,60,301.8,536.6
1999,nos,239,NA,NA,NA,199,23.8,157.5,250.6
2000,hos,693,NA,NA,NA,448,66.7,335.6,596.7
2000,nos,356,NA,NA,NA,253,30.3,200.7,319.3
2001,hos,952,NA,NA,NA,840,125,630.2,1118.9
2001,nos,704,NA,NA,NA,508,60.8,402.8,640.6
2002,hos,3093,NA,NA,NA,2982,440.8,2242.2,3966
2002,nos,1955,NA,NA,NA,1160,138.5,920.2,1462.4
2003,hos,1745,NA,NA,NA,1705,247.1,1289.2,2255.4
2003,nos,853,NA,NA,NA,630,74.6,500.4,792.3
2004,hos,2337,NA,1921,443.5,1921,443.5,1051.8,2790.2
2004,nos,593,NA,1268,282.3,1268,282.3,714.7,1821.3
2005,hos,2814,NA,1535,236.1,1535,236.1,1072.2,1997.8
2005,nos,790,NA,1311,179.4,1311,179.4,959.3,1662.7
2006,hos,1330,NA,678,131.6,678,131.6,420,936
2006,nos,878,NA,716,128.5,716,128.5,464.2,967.8
2007,hos,508,NA,809,191,809,191,434.6,1183.4
2007,nos,356,NA,181,47.4,181,47.4,88.1,273.9
2008,hos,1177,NA,824,126.5,824,126.5,576,1072
2008,nos,648,NA,364,50.7,364,50.7,264.6,463.4
2009,hos,1070,NA,1600,232.9,1600,232.9,1143.6,2056.4
2009,nos,655,NA,448,62.5,448,62.5,325.6,570.4
2010,hos,3426,NA,2101,710.3,2101,710.3,708.8,3493.2
2010,nos,2128,NA,1446,478.1,1446,478.1,508.9,2383.1
2011,hos,65,NA,1131,102.4,1131,102.4,930.4,1331.6
2011,nos,2244,NA,942,98.4,942,98.4,749.1,1134.9
2012,hos,825,NA,885,102.7,885,102.7,683.6,1086.4
2012,nos,1250,NA,972,87.5,972,87.5,800.5,1143.5
2013,hos,79,NA,1427,244.5,1427,244.5,947.8,1906.2
2013,nos,778,NA,858,100.6,858,100.6,660.9,1055.1
2014,hos,379,NA,474,54,474,54,368.1,579.9
2014,nos,1176,NA,822,71.4,822,71.4,682,962
2015,hos,1115,NA,539,56.8,539,56.8,427.6,650.4
2015,nos,1735,NA,798,63.5,798,63.5,673.6,922.4
2016,hos,799,NA,373,58.1,373,58.1,259.1,486.9
2016,nos,1322,NA,686,77.4,686,77.4,534.3,837.7
2017,hos,686,NA,223,38.9,223,38.9,146.7,299.3
2017,nos,296,NA,256,39.7,256,39.7,178.2,333.8
2018,hos,577,NA,148,25.3,148,25.3,98.4,197.6
2018,nos,339,NA,313,37.3,313,37.3,240,386
2019,hos,375,NA,179,32.7,179,32.7,114.9,243.1
2019,nos,296,NA,212,35.1,212,35.1,143.1,280.9
2020,hos,286,NA,124,52.4,124,52.4,21.2,226.8
2020,nos,529,NA,509,99.4,509,99.4,314.2,703.8
2021,hos,469,NA,328,89.1,328,89.1,153.4,502.6
2021,nos,581,NA,717,101.7,717,101.7,517.6,916.4
2022,hos,NA,NA,85,25.3,85,25.3,35.5,134.5
2022,nos,NA,NA,323,54.6,323,54.6,216.1,429.9
